pool,tf,model,test_symbol,asset_class,tier,cutoff,n,wins,losses,wr,pf,expR
fx_train,30m,LightGBM,ADAUSDT,crypto,Standard,0.48923026093020794,6467,2508,3883,0.3924268502581756,0.9688385269121813,-0.018710375753827124
fx_train,30m,LightGBM,ADAUSDT,crypto,High,0.5033839211100936,592,232,350,0.39862542955326463,0.9942857142857143,-0.0033783783783783786
fx_train,30m,LightGBM,ADAUSDT,crypto,Premium,0.5201878602474604,59,27,31,0.46551724137931033,1.3064516129032258,0.16101694915254236
fx_train,30m,LightGBM,AUDUSD,fx,Standard,0.48923026093020794,2566,1041,1509,0.4082352941176471,1.0347912524850895,0.020459859703819173
fx_train,30m,LightGBM,AUDUSD,fx,High,0.5033839211100936,550,251,295,0.4597069597069597,1.276271186440678,0.1481818181818182
fx_train,30m,LightGBM,AUDUSD,fx,Premium,0.5201878602474604,151,77,74,0.5099337748344371,1.5608108108108107,0.27483443708609273
fx_train,30m,LightGBM,BNBUSDT,crypto,Standard,0.48923026093020794,6247,2452,3718,0.3974068071312804,0.9892415277030662,-0.006403073475268129
fx_train,30m,LightGBM,BNBUSDT,crypto,High,0.5033839211100936,519,171,339,0.3352941176470588,0.7566371681415929,-0.15895953757225434
fx_train,30m,LightGBM,BNBUSDT,crypto,Premium,0.5201878602474604,27,9,18,0.3333333333333333,0.75,-0.16666666666666666
fx_train,30m,LightGBM,BTCUSDT,crypto,Standard,0.48923026093020794,5898,2241,3445,0.39412592332043617,0.9757619738751814,-0.014157341471685318
fx_train,30m,LightGBM,BTCUSDT,crypto,High,0.5033839211100936,294,104,178,0.36879432624113473,0.8764044943820225,-0.07482993197278912
fx_train,30m,LightGBM,BTCUSDT,crypto,Premium,0.5201878602474604,6,2,4,0.3333333333333333,0.75,-0.16666666666666666
fx_train,30m,LightGBM,ETHUSDT,crypto,Standard,0.48923026093020794,5757,2218,3380,0.39621293319042517,0.9843195266272189,-0.009206183776272364
fx_train,30m,LightGBM,ETHUSDT,crypto,High,0.5033839211100936,240,94,139,0.4034334763948498,1.014388489208633,0.008333333333333333
fx_train,30m,LightGBM,ETHUSDT,crypto,Premium,0.5201878602474604,2,1,1,0.5,1.5,0.25
fx_train,30m,LightGBM,EURUSD,fx,Standard,0.48923026093020794,2358,995,1331,0.4277730008598452,1.1213373403456048,0.068490245971162
fx_train,30m,LightGBM,EURUSD,fx,High,0.5033839211100936,537,220,307,0.4174573055028463,1.0749185667752443,0.04283054003724395
fx_train,30m,LightGBM,EURUSD,fx,Premium,0.5201878602474604,147,64,78,0.4507042253521127,1.2307692307692308,0.12244897959183673
fx_train,30m,LightGBM,GBPUSD,fx,Standard,0.48923026093020794,2555,1172,1362,0.46250986582478293,1.2907488986784141,0.15499021526418788
fx_train,30m,LightGBM,GBPUSD,fx,High,0.5033839211100936,580,283,293,0.4913194444444444,1.4488054607508531,0.2267241379310345
fx_train,30m,LightGBM,GBPUSD,fx,Premium,0.5201878602474604,166,96,70,0.5783132530120482,2.057142857142857,0.4457831325301205
