pool,tf,model,asset_class,feature,mean_abs_shap
fx_train,1h,LightGBM,fx,atr_percentile_100,0.0051958984468398126
fx_train,1h,LightGBM,fx,atr_pct,0.02093070368998689
fx_train,1h,LightGBM,fx,dist_to_swing_high_atr,0.006739546912574396
fx_train,1h,LightGBM,fx,volume_z_score,0.001012948441680874
fx_train,1h,LightGBM,fx,ema_20_slope_atr,0.0022888849947445573
fx_train,1h,LightGBM,fx,hour_cos,0.003817737945391163
fx_train,1h,LightGBM,fx,momentum_composite,0.004523408112814395
fx_train,1h,LightGBM,fx,rvol_20,0.00029704981814382566
fx_train,1h,LightGBM,fx,adx_14,0.04945715790404111
fx_train,1h,LightGBM,fx,ema_20_dist_atr,0.0023074705968042517
fx_train,1h,LightGBM,fx,htf_1h_atr_percentile_100,0.0007208049141900665
fx_train,1h,LightGBM,fx,htf_ltf_agree_bull,0.004038827938359797
fx_train,1h,LightGBM,fx,htf_ltf_agree_bear,0.0
fx_train,1h,LightGBM,fx,htf_ltf_counter_trend,0.0
fx_train,1h,LightGBM,fx,htf_ltf_alignment_score,0.01438184522694864
fx_train,1h,LightGBM,fx,ltf_rsi_minus_htf_rsi,0.00375904910228696
fx_train,1h,LightGBM,fx,both_rsi_oversold,0.0
fx_train,1h,LightGBM,fx,both_rsi_overbought,0.0
fx_train,1h,LightGBM,fx,vol_pct_diff_htf,0.0005984174730688724
fx_train,1h,LightGBM,fx,both_high_vol,0.0
fx_train,1h,LightGBM,fx,both_low_vol,0.0
fx_train,1h,LightGBM,fx,pullback_in_bull,0.0
fx_train,1h,LightGBM,fx,pullback_in_bear,0.0003915837573115687
fx_train,1h,LightGBM,crypto,hour_sin,0.0
fx_train,1h,LightGBM,crypto,dist_to_swing_low_atr,0.009757905600120726
fx_train,1h,LightGBM,crypto,htf_1h_rsi_14,0.005862663956328646
fx_train,1h,LightGBM,crypto,realized_vol_20,0.0139595639953572
fx_train,1h,LightGBM,crypto,atr_percentile_100,0.004343129894974293
fx_train,1h,LightGBM,crypto,atr_pct,0.04101423238641394
fx_train,1h,LightGBM,crypto,dist_to_swing_high_atr,0.005667259959197883
fx_train,1h,LightGBM,crypto,volume_z_score,0.0011076459137006848
fx_train,1h,LightGBM,crypto,ema_20_slope_atr,0.002209172794515495
